index,query_request,intent
725,"Yes, I am currently connected directly to the modem, router is off, wired connection, new ethernet cable. Reran ookla's test, looking slightly better, but nowhere near 300 yet. I have another (windows) PC I can try too, but this Mac mini is brand new as w",Internet
726,can you do cheaper?,Sales
727,I talked to the billing department last January 30 but until now I still never got any reply. Hope you can speed it up.,Billing
728,I'm having a problem with my internet connection. Support was no help and told me they can't dispatch a tech until Monday evening. My wife is an account and this is the busiest time of the year for her. I can't afford to have my internet down all weekend.,Appointment Related
729,@OptimumHelp why is it so difficult to report an outage on your site?,Internet
730,"Maybe itâ¿¿s not working properly? The technician, his name was Kurt (or Curt) just said it needed to be replaced because the previous tech didnâ¿¿t do it correctly. Either way, we do not have WiFi for most of the apartment.",Internet
731,"Hi, I was just wondering if there is some sort of internet outage on Long Island, as both yesterday and today the internet has not worked at all, despite the both the route and the modem indicating they are connected to the internet",Internet
732,for modem the info is CMAC- E8892CA67C4C,Internet
733,"Well our 5g internet doesnâ¿¿t work from either box, and seemingly more often sometimes when I change to a channel outside of basic cable I get a message that I need to upgrade my cable package",Internet
734,Number is 9734547839,Account Related
735,Parental Controls: Block by Rating,Video
736,Is this service available in11778,Sales
737,"@optimum you have the worst service ever, the price of your bill always changing and never lower without costumer consent ! Then when you call no one can help !",Billing
738,does phone service include international calling,Phone
739,Optimum App for iPhone,Video
740,access to my SSID 5G was disconnected and I cannot log back in; rejects password; the other SSID works fine,Internet
741,"Pay extra for optimum 400.  get 92 MBs to the router.  Seems fair to me...

Getting 25% of expected bandwidth.  Seems fair that I should only pay 25% of service charge, right?",Billing
742,i am considering in adding to my internet package....what if i dont want ALTICE ? what kind of package do you offer,Sales
743,The malfunctioning hot spot is at Secaucus Junction in Secaucus NJ.,Internet
744, Keith Macdonald 1182 North Ave Beacon NY 12508 914-643-2068,Account Related
745,@OptimumHelp thanks for another day with At least 7 wifi crashes and 0.5 download speeds :) couldn't upload my homework and also I lost 3 ranked games in league in a row,Internet
746,How am i goin to listen to musicchoice max mixshow,Video
747,You cancelled my appointment on Sunday - now after waiting since 5 oâ¿¿clock - I called at 8:15- your rep is clueless and says your still on the schedule- Iâ¿¿ll call you back- then another rep calls a different phone number that I used as my contact numb,Appointment Related
748,saying that my information is not valid,Account Related
749,Acct.  07817-007195-04-6,Account Related
750,Is there any way I could change the channel on my router where my wifi relies on so there could be less load on the internet? I know that the complementary routers given by optimum automatically sets up the channel between around 2 or 3 of them. But since,Video
751,"Hi, good news my TV works... Now 8 can't shut off the box, watch DVR, bring up guide",Video
752,Looks as though instead of looking at what I sent and conversation history you disconnected my internet..perhaps I should charge back the payment?,Billing
753,We have been trying to switch to your service and have been having tremendous difficulty and neither we nor the tech who is at our house can get anyone on the line. We're just about ready to cancel but wanted to give this one more go. ,Sales
754,"Hello, I have Optimum 400 and my download/upload speeds are 0.45/0.13 mbps. So something is definitely wrong. Restarted modem a couple times now, and am connected directly to modem.",Internet
755,Good evening. Iâ¿¿m still having this split screen issue. Itâ¿¿s been like this for a week. I pay a lot for cable &amp; I canâ¿¿t even enjoy watching tv anymore due to this problem. Can you assist? I have done everything. I refuse to keep doing these thin,Video
756,"Hello, i was trying to find the best option to set up the internet at my home",Sales
757,Iâ¿¿m paying on Friday the 25 hold bill,Billing
758,"I have a question, I got a $25/ month  for internet. I want to know if there is any basic tv package, I mean bundle, basic tv +internet",Sales
759,"730 Bound Brook Rd

Dunellen NJ 08812 Apt 2",Account Related
760,"47, New paltz rd Highland NY",Account Related
761,phone is dead -- all phones,Phone
762,"when my house phone rings, so does my i phone.  ho",Phone
763,"Hi! I'm comparing prices with other companies. I see that for Core TV, Internet 400 and Phone, teh monthly charges total 109.99",Sales
764,Iâ¿¿ve been trouble shooting for an hour. You should take $80 off my bill for all the work Iâ¿¿ve been doing,Appointment Related
765,@dani_marie21 @OptimumHelp i donâ¿¿t even get half the speeds i pay for its ridiculous,Internet
766,Why is the new email so slow?   Why the change to the email  - the format was fine as it was,Internet
767,Confirm an Arrival Window for a Service Appointment,AppointmentRelated
768,Would prefer to reschedule because my mother is in a wheelchair and cannot carry the equipment to the Post Office. But please don't reschedule again only to have her wait around for a third day to have nobody show.,Appointment Related
769,"Good evening, I have another question. When returning a modem, does the account holder need to be present or can someone else return it as well?",Internet
770,Hello???? This lack of resolution is unacceptable.,Billing
771,Thank you. I'll grab it and have it over in a moment,Billing
772,"Get TV with over 220 channels, 200 Mbps Internet and a $100 American Express gift card for just $54.99 mo./3 yrs. guaranteed.",Billing
773,A bill*,Billing
774,Patrick Lindner. 2038043098. 1347 Greene Avenue Apt. 1,Billing
775,@AlticeUSA @optimum online chat is a joke. 10 minutes after giving my account info to say get my own modem. Horrible service definitely not worth the money they ask. https://t.co/T0FQPFD2JJ,Internet
776,"As I mentioned in a tweet, my bill went up by 20% over the past 8 months and I've had 2 price increases since then.  My info:ALEX SHIFERMAN

585 NORMAN ST APT 5J

BRIDGEPORT CT 06605-1147",Billing
777,@OptimumHelp currently getting this message. We don't have an antenna https://t.co/zRRu0c2btK,Video
778,"Hi, Now I am having problems sending email to optonline accounts directly from my work email (jeff@hvswim.com). The prior issue was when I used a registration service with the Reply-To being jeff@hvswim.com. Now I am getting bounces when I send a direct e",Internet
779,I need a response on this please.,Billing
780,Life is fast for small business owners. You need Internet thatâ¿¿s faster. Get 150 Mbps Internet for $45/mo. when bundled.,Billing
781,BX Stand Up! ð¿¿¿â¿â¿¿ï¿,Billing
782,I'd like to report a service outage,Internet
783,The cable is fixed. They repaired the line in the street. You can cancel my appointment for tomorrow,Appointment Related
784,My Altice One box says few updating.. should I leave it alone itâ¿¿s been on that for a while,Video
785,I just need to cancel for now Iâ¿¿ll reschedule when I have my calendar on me,Appointment Related
786,Optimum App for iPhone: View Live TV,Video
787,IPv4 address?,Internet
788,Some books are better left unread! Stick with your screen and order Goosebumps Movie On Demand today. See more at optimum.net/mod. #Goosebumps2Movie,Internet
789,Telephone has been out for 2 days ,Phone
790,"1 Tanners Lane, Levittown NY 11756",Account Related
791,That worked a for a while but I just got vid-226,Video
792,"The only electronics near the router is the modem. Unfortunately it isnâ¿¿t convenient to keep the Apple TV wired up at all times, and the router is not in a good spot for using the laptops either, so we are stuck using WiFi. Thank you, Iâ¿¿ll test this s",Internet
793,"Don't ""conveniently"" have your customer service rep say that there is no record of me calling to cancel a package when I call up for a refund after I was still being billed on the date. Then when I offer to send the rep a screenshot of my call history to",Billing
794,"As it is, optimum has already told me that the best they can do is start DVR service again but not restore what I had before which was about 56 programs I still was waiting to watch. All because a major mistake was made by you by shutting my service off p",Video
795,Parental Controls: Enable or Disable Parental Controls,Video
796,Interested on talking to someone about your cable,Sales
797,This email was sent from joan@hvswim.com,Internet
798,So you're saying I may not get the credit until about April?,Billing
799,"Mimi Mellides

2 Laurelton Avenue, Nesconset NY

6314671067",Internet
800,I asked for an update earlier and got none,Appointment Related
801,"Outage in Rockville Centre, NY. No internet or tv",Internet
802,I am a current internet only customer.  I will be moving in the next few weeks and will  want to add phone and television..  Can you tell me what your best rates would be?,Sales
803,"Hello, i'm having trouble recovering my password and it won't send me the reset e-mail.",Account Related
804,Optimum Online Email: Setup a Vacation Message,Internet
805,"^AM 87 year old woman with dementia being charged for DVR services after contacting you 4 times (phn and chat) to have cancelled, twice told it was). $15 a month charged ongoing. She has no mental ability to use DVR never asked for it-got box.) You - - un",Billing
806,"Iâ¿¿m a new customer. I had your service installed for TV, Phone and internet this afternoon. Nothing worked until one hour ago. Now I have limited service the TV is in and out and I have no WiFi. I was told that service was out in the area is out, but my",Internet
807,"Hi, I received a little assistance yesterday about my slow connection speeds in Brooklyn, NY. I was instructed to reset the router and make sure the coax connection is snug. I have done all these steps and while my speed has improved from 1.65Mbp/s down t",Internet
808,"Cnn lacks all sound on channel 25...this is the only channel with a issue ...I am in Bergen county, has this issue been reported yet?",Video
809,Altice Fiber delivers a truly extraordinary experience. It's about more than speed. It's about limitless connections.,Billing
810,top left corner you can see that the ping is over 1k and no matter what I do nothing is fixed this has been happenign for days https://t.co/cfSt2FOT1u,Internet
811,"Iâ¿¿m the Executive director at Putnam History Museum in Cold Spring, NY, we have had serious connectivity issues in the past week that have been disruptive re daily email and business. Would someone from your service department please call me tomorrow at",Internet
812,@optimum @OptimumHelp If my parents are pahing for 400 mbps internet and the wifi is reading between 30-40 up and down on normal wifi and about 70-100 mbps on 5g what should they do?,Internet
813,My service is down AGAIN.  Is there anyway to get a service person to my house today?,Internet
814,"Are there any outages right now in Bushwick? The website says there isnâ¿¿t, but my service is offline",Internet
815,how much does the service go up after the first year,Sales
816,can i upgrade the internet at any given time?,Sales
817,Once again - wifi and cable outage,Internet
818,Optimum WiFi: Optimum ID and Password Information,Internet
819,Quick question how can someone have HBO on their silver package but not be able to use the HBO Now or Go? Ask for my friend.,Video
820,Get Internet for as low as $24.99 mo./1 yr. with unlimited data & over 2 million hotspots.,Sales
821,My name is Rosana Martinez and i am using Martinez1935,Account Related
822,"@OptimumHelp Since the kids were in the middle of watching it, I just went ahead and got it from Amazon. Can you please credit my account the 3.99 for the rental?",Video
823,The issue isnâ¿¿t something my account number is needed for.  Iâ¿¿ve called twice my modem shuts off but because optimum thinks there is no problem they will not send me a new modem.,Internet
824,Same problems again.,Internet
825,Hey I live in The Bronx area is@there something going on with cable,Video
826,"Hi, we are experiencing service issues in Brooklyn, NY. Is there a network problem? I've restarted the router several times.",Internet
827,yes i am but I am getting an optimum alert telling me to restart my modem,Internet
828,my phone shut off,Phone
829,Online Bill Pay: Schedule a One-Time Payment (Registered User),Billing
830,Its been a week and I still dont have any internet access. A technician came to do the installation last Saturday and realized that he couldnt install  because of some logistics and said that someone else would come back in 3 days. No one has come and I'v,Appointment Related
831,Whatâ¿¿s the problem now?,Internet
832,Can you please assist me to subscribe for the internet service,Sales
833,"i was requesting a future  channel  wlny 55  carrys  

COMET  TV   55.2...

WHY NOT ON CABLE?..",Video
834,Hello my acct number is 0783659133906,Video
835,@OptimumHelp Yes I did 551 by accident...any way I can get the HD? Really donâ¿¿t want to pay $65 for this terrible picture,Video
836,"hey, i lost my phone its connected to optimum wifi, can you tell me where the last connection was?",Internet
837,This has been going on for a while now. Iâ¿¿ve restarted the router and WAPs. Iâ¿¿ve done speed tests at 2am when everyone is sleeping and no other devices are in use. And both wired and wireless.,Internet
838,"Hey, for the past few weeks my connection has been dropping",Internet
839,I planned to cancel the account once the number is transferred. We use that for a business. I was hoping to transfer it then close the account without having to take over the account. Sounds like there are two options : either close then see if can transf,Phone
840,3 Cricket Lane Rhinebeck NY 12572,Account Related
841,It for a appointment on Jan 29 and I was on hold for 35 min after I called the number sales gave me to call,Appointment Related
842,@OptimumHelp I am having an issue with my DVR where there seems to be a latency between the remote and the box for instance we start to FF and the hit play but it continues to roll forward.  Almost like they temporarily get out of sync. Do you have any su,Video
843,"Amy Vernon

243 Edgar Place

Elizabeth NJ 07202",Internet
844,Is this going to be fixed today? Soon? At least keep your customers updated!,Internet
845,Seriously? I had an install date today and when the tech gets here he says he doesnâ¿¿t have enough cable to do the run from the pole to the house? How is that even possible? Youâ¿¿re a cable company! If this is the service that I can expect then maybe Iâ,Appointment Related
846,About Optimum Voice,Phone
847,"Back again I have been using RABBIT EARS FOR 4YEARS GAVE UP ON ALL CABLES FELT ALTICE WOULD B GOOD FOR THE PRICE. CANT AFFORD CANLE THATS WHY RABBIT EARS. I AM A SENIOR ON FIXED INCOME NO DISCOUNTS.LOL

Message has attachments: 

Name: Optimum added a new v",Billing
848,"The wifi shows a connection bar, but it doesnt work",Internet
849,@Altice  @OptimumHelp Iâ¿¿ve been trying to watch tv for 2 hours and my cable box isnâ¿¿t working .....,Video
850,@RENTonFOX @FOXTV Iâ¿¿m why is fox not working on Optimum?? @optimum,Video
851,my cablevision account is #0783732686107,Account Related
852,Internet is completely down. What gives?,Internet
853,You got to love when your internet randomly cuts out for bo apparent reason! @optimum,Internet
854,@OptimumHelp no internet since 8am this morning- support phone lines not working. What can i do to get an update? Frustrating,Internet
855,"Name: Divyesh Patel

Address: 16 Thimble Lane, Hicksville, NY 11801

Phone: 5168283247

Account number: 0780130559203",Account Related
856,@RENTonFOX @optimum missed the opening https://t.co/BAAV3THIe6,Video
857,What do I do if my ex-boyfriend throws away the router for the WiFi? He intentionally threw these away. Idk what to do now,Billing
858,Hi any way I can pay my past due next Friday. Just started new job and they pay us every two weeks so my stuff is backed up cause of this,Billing
859,So my elderly mother in laws cable is not working since this afternoon. I called and the soonest you have for a technician to come is Wednesday?! So she has to sit in the house for 3 days with no entertainment? Pretty ridiculous optimum.,Appointment Related
860,Optimum App for Android or Kindle Fire: Manage DVR Recordings,Video
861,"all is connected rt now.... Now when I spoke to the tech, I was informed since I did not have any service since before 2/28 that I was entitled to a credit..",Billing
862,^JM why you don't understand is we are talking about an 87 year old woman living alone far from family on fixed income. You installed equipment that you cannot change service remotely and you CAN waive the $80 service  fee if optimum had a corporate consc,Billing
863,Can we have 2 phone nunbers @ residential location ,Phone
864,"Hi, I spoke to a supervisor who changed my service to lower my bill . When I asked if I was getting the same service she said yes, however that is not true. She changed my cable  from silver to select and I have lost channels. Can you correct this for me",Billing
865,"Is it possible to get optimum without getting Altice One? More specifically, is it possible to get the modem and cable box separately and still be eligible for the deal?",Sales
866,"Stefan Rybak

10 Shore Road, Mount Sinai NY

631-473-0948",Account Related
867,"Hi the account is under 

David Flores 

71 Pennsylvania Ave Apt.2

Newark,NJ 07114

973-824-5076",Billing
868,Optimum App for iPad: View Live TV,Video
869,Yes.,Video
870,Optimum Email: Automatically Save New Email Addresses,Internet
871,how to change my e-mail address and phone number,Phone
872,"The far worst cable ever had TV keep rebooting, half the time channels don't work and there is no channel that Walks you through anything to help you just straight robbing people",Internet
873,Optimum is joke no wonder why everyone leaves ur company,Internet
874,@OptimumHelp hoboken espn and espn2 are down again...smh,Video
875,And it can be waived because you lost what exactly?,Billing
876,"My optimum ID is 07875-291787-01.  I only have one MAC address on the bottom of my modem, the WAN MAC, and it is 54B80AE409AA",Internet
877,"Hi we lost internet yesterday 2-21-19 , about 8 -10 times during the day . Can we get someone to look into this please?",Internet
878,TV to GO,Video
879,no phone service,Phone
880,"The website SUCKS!!  I've tried ALL day today to try and get pricing information by inputting my address, yet it doesn't take it to show me online offers!  I guess there was a reason I left a while back!!!",Sales
881,My channels just came back finally after over an hour but this is getting beyond ridiculous what is the problem why is this constantly happening,Video
882,Internet that moves at the speed of your small business. Get 150 Mbps Internet for $45/mo. when bundled.,Billing
883,I need to know how many days they come to install it,Sales
884,"I'm about to stream in an hour and my internet throttle issue is back....



Frames being dropped ridiculously when I'm testing my stream connection.



@OptimumHelp I thought this was fixed? I was told you guys were going to fix it and I didn't get word back",Internet
885,@optimum what the hell is a network enhancement fee?,Billing
886,you never come back to me about my question about the bill. how to reach an escalation team to discuss?,Billing
887,Optimum Voice: Forward Calls by Time of Day,Phone
888,@optimum outage in brooklyn?? Hours that WiFi isnt up!!!,Internet
889,"Hello, how are you, I am not interested in the additional charges of Altice One ( 20.00) and Altice One mini (10.00) they got added to my package. can you plese remove them",Sales
890,Do you guys know why optimum is not working,Internet
891,"To be honest, we don't need the movie channels.  Are there any promotions to lower the cost?  Quite frankly, at this point that's all that matters.",Billing
892,"Moshe Albaum. 30 Grace Ave apt 3ST, Great Neck NY 11021   516.829.4675",Account Related
893,Hi i have a couple questions about when i would have to make my first payment,Sales
894,"Thatâ¿¿s not true and this very chat history shows that. After it was reset, I said that it was still not working",Billing
895,"My name & address are
Debbie Ruiz
149 West 175 St
Bronx, NY 10453
718 716-6918
Acct# 07837-428822-01-0
",Account Related
896,"We reset and everything works, thanks",Internet
897,Went down again saying the Ethernet was broken - went through the troubleshoot didn't work had to make everything reboot wirelessly via the troubleshoot worked again after a while,Internet
898,Put this account in collection. For what. I donâ¿¿t owe ANYTHING!!!,Billing
899,"Hello, I have a major issue with our internet. Apparently we werenâ¿¿t given the correct router for the high speed internet we just updated to on Monday. A technician was just here and he has no timeline for when they can actually replace our router becau",Internet
900,Is it possible to assign an appoitment sooner,Internet
901,Just the us/ds blue light blinking. All services down including TV phone and internet,Internet
902,"Slow internet costs customers. Get super-fast 300 Mbps Internet + Optimum Voice for only $99.95/mo. 2 years. Limited Time, Online Only!Slow internet costs customers. Get super-fast 250 Mbps Internet + Optimum Voice for only $99.95/mo. 2 years. Limited Tim",Internet
903,Optimum App for iPhone: Set Favorite Channels,Video
904,"I need to go over certain charges and remove certain services. I also need a full, total amount of a 100mbps Bundle breakdown",Billing
905,@OptimumHelp My router went out last night and seemed to have reset. Wifi names have all changed. Unable to access router. Stuck on loading circle.,Internet
906,"Hi, is someone coming today to fix the issue? Thanks",Appointment Related
907,"Hi, I wanted to know the all in cost for Altice 1 with the $79.99 plan",Sales
908,Reducing Spam on Optimum Online,Internet
909,"hi good morning. whats  i am looking for prices for internet services, and i would like to know the price you guys have for INTERNET 400 after the 1 year?",Sales
910,please explain the new $10 extra charge on my account.  Thx.,Billing
911,cancel account,Sales
912,My wife is Delia Esposito,Internet
913,now It shows CA008 Error,Video
914,How much is if add TV japan to this plan?,Sales
915,I'll do it tonight. Attn to who?,Billing
916,"Hello, the street address is 2649 Main street and cross street is Salem street in Bridgeport, CT.",Account Related
917,Can you please tell me if the $80 is billed to my existing account or do I have to pay at the time of the service?  This would make a difference to me as to when I could have someone come out.,Appointment Related
918,I need to get the new internet service,Sales
919,203-231-9981,Account Related
920,Internet Speed Tiers,Sales
921,Does it cost money to have our internet moved to a new address?,Sales
922,"@Yahootech Isn't it amazing how the cable co's always get the worst marks for #CustomerService?  Especially when, say, you tell @optimum @OptimumHelp your mother died A YEAR AGO, they say ""OK"", then send her account into collections, anyway.  Keep up the",Billing
923,The lights are on. Yes Iâ¿¿ve tried removing the power cable but it didnâ¿¿t work. The number on file is disconnected is there a way to change it,Internet
924,What will my internet bill be after one year?,Sales
925,just a quick question this port forwarding wont effect anything on the bill since the router is built into the AlticeOne right?,Billing
926,I like to know if I order correctly,Sales
927,"Hiyo! I've been having issues with my internet and cable for a few days. I've tried restarting both my modem and router but I'm still having the same issues. When I run a network diagnostic on my PC, it says ""Windows could not automatically detect this ne",Internet
928,"saturday works for me, ill be home all day. is there a charge for troubleshooting your service?",Internet
929,What was the last bill that I received cuz I donâ¿¿t see the final bill?,Billing
930,"Hi, I want to order internet",Sales
931,"@OptimumHelp Everytime I try to create our OptimumID, I get a message claiming that ""You can only create an Optimum ID from your home network."" While I'm at home. On my home network. What gives?",Account Related
932,"Hello OptimumHelp,

Is anyone available to help out a customer with optimum online issues?",Internet
933,6317370880 21 Lakewood Rd Ronkonkoma ny,Account Related
934,How do I get cpies of my invoices,Billing
935,"This is definitely not ok, I have no idea what the issue is with the service and to have a fee based on whether itâ¿¿s optimum equipment or not doesnâ¿¿t seem right.  Iâ¿¿ve donâ¿¿t nothing with wiring or cords and then the last 2 months our service has b",Billing
936,"Ok so I can go to the Optimum location and get a brand new modem that is more current in technology than my old one Iâ¿¿ve had several years?  

",Internet
937,Why did my bill increase to $158 this month? Why is it so hard to reach a customer service rep live? Why did my billing date change from the 15th to the 1st of the month?,Billing
938,When I go to connect on my phone or roku this network doesnâ¿¿t even show,Internet
939,FYI Box number one just went down again. I tried unplugging it and it didn't work.,Video
940,Once again waiting for an answer,Billing
941,I can't tell you how disappointed I am in optimum.  I would think after submitting a survey that had nothing but zeroes on it and complaints about your customer representative service I would figure I would have gotten a phone call when you inquired when,Billing
942,@optimum  we have no service and support says they canâ¿¿t get anyone here till mid week. There goes my Super Bowl. If you are listening service is down on Thornberry Way . All three services are down,Internet
943,hi i would like to know more about your internet service,Sales
944,Omg i swear the worst customer service i have ever ever ever had! Cable worked great till i got the new box(all in one) since they installed it have not been able to watch tv. Turns on but canâ¿¿t change the channel use the settings nothing. Missed the ba,Appointment Related
945,I guess someone is still looking into this?? https://t.co/q1t34yzIYR,Billing
946,@IMPACTWRESTLING @Twitch @PursuitChannel Thank you. Never mind @OptimumHelp,Video
947,"Hi, We currently pay $19.99 + a $5.00 surcharge for ""BroadcastBasic."" Yet we have no cable box and do not receive any channels at all. Can you tell me what we are paying for? Our acct number is: 07881-100074-02-7   Thank you.",Billing
948,So these are the speed tests Iâ¿¿ve done the last few days. The top one is the most recent. I still believe thereâ¿¿s something going on in the cable room in my building. Iâ¿¿ve rebooted everything on my end. https://t.co/jPwoIoDGbH,Internet
949,My phone stopped working about noon yesterday. ,Phone
950,Optimum Voice: International Calling,Phone
951,"Thanks @optimum Cant watch #Rent ... AN OUTAGE?!? REALLY?!?!?!



 I'll see you soon, @verizon https://t.co/Od1TuMXRr6",Video
952,I did that four times yesterday. Since then it randomly goes back out and back on,Internet
953,@OptimumHelp aye no internet bruh ? Can I get some help nyc area,Internet
954,My account # is 07862104031031 where my service is down,Internet
955,Phone is not working,Phone
956,"It seems, I have to Re-Boot  the  Entire System (both boxes - individually and the  Modem) in order to view my Channels for a few hours.  I have done this  twice today - so far.  I called the 718 number - which was suppose to generate a re-boot signal.  I",Video
957,@OptimumHelp my internet crashes every time I try to download my wedding pictures. Tried to get help but was told to restart my modem which didn't work. I'm frustrated and annoyed and considering switching providers.,Internet
958,Okay I will test the 5G now,Internet
959,I was told I can purchase it with the technician when he came,Internet
960,Hello just have question,Sales
961,"Hey my Internet is down, Iâ¿¿ve already restarted the router/modem twice.",Internet
962,@OptimumHelp Iâ¿¿m curious. My internet has been super slow. Ran an online test and got this result. Iâ¿¿m paying for optimum 200. Why am I getting no where NEAR the speed I should?,Internet
963,There should be a part of the charge because I had it for less than a month I canceled it on the last day of the month the 31st,Billing
964,Optimum App for iPhone: Closed Captioning,Video
965,@OptimumHelp @optimum Why do you not honor your agreements you make with customers?  Poor of you.  Even worse is your online chat support malfunctioning nonstop and being unable to speak to someone about this BS.,Billing
966,07858-511001-02-2,Account Related
967,@OptimumHelp continued.  No one has ever called back.  My frustration level is through the roof!!!  Enough is enough.  You have the worst customer service I have ever experienced.  For Christ's sake HELP!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Internet
968,is this service a contract for a year or cancel anytime,Sales
969,"hhertzof@gmail.com  The last email I got from Optimum was ""Free On Demand Sets You Free"" yesterday. It's just the bills I'm not seeing.",Internet
970,I am moving to a different part of the country and would like to cancel my services.,Sales
971,I am trying to see if I can switch an optimum line to another optimum account and continuously am put on hold. I have been trying to get through for about an hour or so now. When I connect with someone they transfer or when I connect with right department,Phone
972,CANT CALL MY PHONE NUMBER,Phone
973,I would like to start service at my new home,Sales
974,Hello and Happy New Year! Quick questions...I am still having the picture problems with the dark that I have asked you about before. Has the issue been addressed. And I have had some programs be black screen for the entire recording. why does that happen?,Video
975,I use a registration service from a company called Active Network. I opened a ticket with them and they said you have to add the following smtp server IP to your whitelist. smtp IP address 216.206.180.0/24 (216.206.180.1-254). This is a new problem. Not s,Internet
976,"Hi.  I just got home and I currently donâ¿¿t have Internet.  I just reset everything and it did not come back.  Can you tell me if internet is out in my area?  And if so, when itâ¿¿s expected back.  Thank you",Internet
977,No I do not have the app on anything else I normally watch it on the app on my phone or on the website on my computer,Internet
978,i  did there is no card number.,Billing
979,"Yes, about 1/4 mile away on Shady Knoll Dr Stamford CT",Appointment Related
980,And no one contacted me to tell me they were not coming to the appointment that was RESCHEDULED,Appointment Related
981,Phone line outlet broken.,Phone
982,Do you know when the next available time for installation would be?,Sales
983,Altice One: On Demand,Video
984,@OptimumHelp Please do. Itâ¿¿s HD on my phone and my iPad... why not on my TV?,Video
985,my internet is out since noon please help,Internet
986,@OptimumHelp @optimum i tried several times already since december 2018. none of them helping me right.,Billing
987,No thank you. Iâ¿¿ll continue working on the issue tomorrow. Thanks for your help.,Internet
988,I have to say that is not really fair.  Our bill has gone up steadily over the years yet we are very loyal customers.  What discounts would you offer to a long time customer to make them stay with you,Billing
989,Dialing in Area Code 609,Phone
990,hey @OptimumHelp @optimum how can we bring back @MusicChoice? new stuff is really not great í ¿í¿¿,Video
991,I tried to connect it to the laptop and it worked. What should we do next so we can have a wifi working?,Internet
992,Ok thank you,Billing
993,@OptimumHelp Being told by the tech here to install your service that contrary to @VerizonSupport where 2 phone numbers can be used from the same phone (Line 1 and Line 2) we would need 2 different phones for Optimum. Is that true? Nobody answers your pho,Phone
994,"do not have am outgoing line,,,phone says no line",Phone
995,"Unfortunately I missed it, I tried calling back, but number was no good",Billing
996,"Hi I just tried to file for a service credit due to the outage yesterday, however the website said it was unable to give me a credit and to reach out to this Twitter account",Billing
997,"Hi again! My bill keeps creeping up. This time, there's a network enhancement fee. I'm thinking I may need to switch providers. My Acct# 07836-677740-04-9",Billing
998,Pricing and Packages for Optimum TV,Video
999,@optimum online.......down.......again,Internet
1000,"Hi, today is March 4 and the signals of channels 1021, 1033 and 1085, all of Colombia, are still out of the air, especially NTN24 is very important for our community because it is the only voice that Venezuela has in these difficult moments. They have bee",Video
1001,Iâ¿¿m letting the whole world see how you refused to help me,Billing
1002,Thank you for responding! Im hoping it gets fixed soon as it's hard to time record without the info working!,Video
1003,"I had altice one installed in my house last week.  The unit in the living room works like a charm but the one in the bedroom has issues.  Both unit are the small boxes.  For the unit in the bedroom, I can turn the unit on and watch TV.  But none of the mo",Video
1004,Oh now both are flashing green https://t.co/hyfZsMFJa9,Internet
1005,203-418-0467 and the service address is 99 prospect St apt 3M Stamford CT - 06901,Internet
1006,@OptimumHelp Did a second test on a second website. I donâ¿¿t get why i even have to pay for service this bad. https://t.co/rBLeyBz4yF,Internet
1007,Yes virtually every device on the network?,Internet
1008,"I don't often watch live channels, that's the point!",Video
1009,Why is showtime suddenly not working!?,Video
1010,Anything?,Internet
1011,How do I get the offer for free netflix for a year,Sales
1012,Pressing select does nothing. Iâ¿¿ve spent two hours trying to get my cable box working again.,Video
1013,Thank you for responding. I hate sounding combative or difficult. My telephone is 3157515069,Billing
1014,Is there any update ? Itâ¿¿s been so many days! I want the chat of my order placed. It was clearly mentioned I will be getting a credit,Billing
1015,My internet has not worked for most of this year with no explanation and no human to speak with.  How do I get to speak to a human now? #lousyservice,Internet
1016,I would like to add phone service to my package,Phone
1017,Whatâ¿¿s wrong with @handitvnetwork on ch 140,Video
1018,@fox5ny @StevenLacy @DariAlexander Am I the only one who doesnâ¿¿t have sound right now?  I see you talking but thereâ¿¿s no sound.  The rest of my channels are ok.  Is the is production thing or a service thing? @optimum,Video
1019,What is the number I can call for cancellation?,Sales
1020,The point is not the charge. It is the lack of disclosure about the charge.  And the shady business practice of having someone sign a document that they were not able to see the entire document.  And the lack of a supervisor getting back to me despite sev,Billing
1021,Tvs are all working in the house,Internet
1022,Cable Box Requirements & Digital Programming,Video
1023,Tree limbs not in way. No one needs to be home. Side of house on right. Garage side,Appointment Related
1024,I have a bill due the 22nd. When will your network allow me to make an optimum ID so I can set up billing.,Account Related
1025,"My account number is 07869-901729-04-1 and my address is MS HILARY HERTZOFF

680 W BOSTON POST RD APT 1B

MAMARONECK NY 10543-3449. I haven't gotten an emailed notification that my bill was due in 2-3 months.",Billing
1026,Smart Router: Firmware Upgrades,Internet
1027,Nice that the company apologize for loser service. but 34$ credit is not good enough for service lost for 3 weeks.,Billing
1028,Phone service not working correctly,Phone
1029,Please help. I ended my service months ago and have an outstanding bill with no explanation of charges. Acct 07875-435299-02-0. I will not be issuing payment until I received a summary of these charges.,Billing
1030,"@OptimumHelp Net speeds are consistently under 6mpbs tested on https://t.co/n1tFwRo7wV; should be getting 25mpbs.  Restarted modem/router/IP, still the same.  What's up?",Internet
1031,Cable Theft :What is theft of service?,Video
1032,"Yes, I see that for the balance transfer. Where is the equipment credit noted then?",Billing
